team,season,wins,is_breakout,is_regress
JAX,2016,3,0,0
SF,2016,2,0,1
CLE,2016,1,0,0
MIN,2017,13,1,0
NE,2017,13,0,0
PHI,2017,13,1,0
PIT,2017,13,0,0
CAR,2017,11,0,0
LA,2017,11,1,0
NO,2017,11,0,0
ATL,2017,10,0,0
JAX,2017,10,1,0
KC,2017,10,0,0
BAL,2017,9,0,0
BUF,2017,9,0,0
DAL,2017,9,0,0
DET,2017,9,0,0
LAC,2017,9,0,0
SEA,2017,9,0,0
TEN,2017,9,0,0
ARI,2017,8,0,1
CIN,2017,7,0,0
GB,2017,7,0,1
WAS,2017,7,0,0
MIA,2017,6,0,0
SF,2017,6,0,0
CHI,2017,5,0,0
DEN,2017,5,0,0
NYJ,2017,5,0,0
TB,2017,5,0,0
HOU,2017,4,0,0
IND,2017,4,0,1
NYG,2017,3,0,1
LA,2018,13,1,0
NO,2018,13,0,0
CHI,2018,12,1,0
KC,2018,12,0,0
LAC,2018,12,0,0
HOU,2018,11,1,0
NE,2018,11,0,1
BAL,2018,10,0,0
DAL,2018,10,0,0
IND,2018,10,0,0
SEA,2018,10,0,0
PHI,2018,9,0,0
PIT,2018,9,0,0
TEN,2018,9,0,0
MIN,2018,8,0,0
ATL,2018,7,0,1
CAR,2018,7,0,0
CLE,2018,7,1,0
MIA,2018,7,0,0
WAS,2018,7,0,0
BUF,2018,6,0,0
CIN,2018,6,0,0
DEN,2018,6,0,0
DET,2018,6,0,0
GB,2018,6,0,1
JAX,2018,5,0,1
NYG,2018,5,0,0
TB,2018,5,0,0
NYJ,2018,4,0,0
SF,2018,4,0,0
ARI,2018,3,0,1
BAL,2019,14,1,0
GB,2019,13,1,0
NO,2019,13,0,0
SF,2019,13,1,0
KC,2019,12,0,0
NE,2019,12,0,0
SEA,2019,11,0,0
BUF,2019,10,1,0
HOU,2019,10,0,0
MIN,2019,10,1,0
LA,2019,9,0,0
PHI,2019,9,0,0
TEN,2019,9,0,0
CHI,2019,8,0,0
DAL,2019,8,0,0
PIT,2019,8,0,1
ATL,2019,7,0,1
DEN,2019,7,0,0
IND,2019,7,0,0
NYJ,2019,7,0,0
TB,2019,7,0,0
CLE,2019,6,0,0
JAX,2019,6,0,0
ARI,2019,5,0,0
CAR,2019,5,0,0
LAC,2019,5,0,1
MIA,2019,5,0,0
NYG,2019,4,0,1
DET,2019,3,0,1
WAS,2019,3,0,1
CIN,2019,2,0,1
KC,2020,14,0,0
BUF,2020,13,1,0
GB,2020,13,1,0
NO,2020,12,0,0
PIT,2020,12,0,0
SEA,2020,12,0,0
BAL,2020,11,0,0
CLE,2020,11,1,0
IND,2020,11,0,0
TB,2020,11,0,0
TEN,2020,11,0,0
LA,2020,10,0,0
MIA,2020,10,1,0
ARI,2020,8,1,0
CHI,2020,8,0,0
LV,2020,8,1,0
LAC,2020,7,0,0
MIN,2020,7,0,0
NE,2020,7,0,1
WAS,2020,7,1,0
DAL,2020,6,0,1
NYG,2020,6,0,0
SF,2020,6,0,1
CAR,2020,5,0,0
DEN,2020,5,0,0
DET,2020,5,0,0
ATL,2020,4,0,1
CIN,2020,4,0,0
HOU,2020,4,0,1
PHI,2020,4,0,1
NYJ,2020,2,0,1
JAX,2020,1,0,1
GB,2021,13,0,0
TB,2021,13,0,0
DAL,2021,12,0,0
KC,2021,12,0,0
LA,2021,12,1,0
TEN,2021,12,0,0
ARI,2021,11,1,0
BUF,2021,11,0,0
CIN,2021,10,1,0
LV,2021,10,0,0
NE,2021,10,0,0
SF,2021,10,0,0
IND,2021,9,0,0
LAC,2021,9,0,0
MIA,2021,9,0,0
NO,2021,9,0,1
PHI,2021,9,0,0
PIT,2021,9,0,0
BAL,2021,8,0,1
CLE,2021,8,0,0
MIN,2021,8,0,0
ATL,2021,7,0,0
DEN,2021,7,0,0
SEA,2021,7,0,1
WAS,2021,7,1,0
CHI,2021,6,0,0
CAR,2021,5,0,0
HOU,2021,4,0,1
NYG,2021,4,0,0
NYJ,2021,4,0,0
DET,2021,3,0,0
JAX,2021,3,0,0
KC,2022,14,0,0
PHI,2022,14,1,0
BUF,2022,13,0,0
MIN,2022,13,1,0
SF,2022,13,0,0
CIN,2022,12,1,0
DAL,2022,12,0,0
BAL,2022,10,0,1
LAC,2022,10,0,0
DET,2022,9,0,0
JAX,2022,9,1,0
MIA,2022,9,0,0
NYG,2022,9,1,0
PIT,2022,9,1,0
SEA,2022,9,0,0
GB,2022,8,0,1
NE,2022,8,0,0
TB,2022,8,0,1
WAS,2022,8,0,0
ATL,2022,7,0,0
CAR,2022,7,0,0
CLE,2022,7,0,0
NO,2022,7,0,0
NYJ,2022,7,1,0
TEN,2022,7,0,1
LV,2022,6,0,0
DEN,2022,5,0,0
LA,2022,5,0,1
ARI,2022,4,0,1
IND,2022,4,0,1
CHI,2022,3,0,0
HOU,2022,3,0,0
BAL,2023,13,0,0
DAL,2023,12,0,0
DET,2023,12,1,0
SF,2023,12,0,0
BUF,2023,11,0,0
CLE,2023,11,0,0
KC,2023,11,0,1
MIA,2023,11,0,0
PHI,2023,11,0,0
HOU,2023,10,1,0
LA,2023,10,1,0
PIT,2023,10,0,0
CIN,2023,9,0,0
GB,2023,9,0,0
IND,2023,9,0,0
JAX,2023,9,0,0
NO,2023,9,0,0
SEA,2023,9,0,0
TB,2023,9,0,0
DEN,2023,8,0,0
LV,2023,8,0,0
ATL,2023,7,0,0
CHI,2023,7,0,0
MIN,2023,7,0,0
NYJ,2023,7,1,0
NYG,2023,6,0,0
TEN,2023,6,0,0
LAC,2023,5,0,1
ARI,2023,4,0,0
NE,2023,4,0,1
WAS,2023,4,0,0
CAR,2023,2,0,1
DET,2024,15,1,0
KC,2024,15,0,0
MIN,2024,14,1,0
PHI,2024,14,0,0
BUF,2024,13,0,0
BAL,2024,12,0,0
WAS,2024,12,1,0
GB,2024,11,0,0
LAC,2024,11,0,0
DEN,2024,10,1,0
HOU,2024,10,1,0
LA,2024,10,0,0
PIT,2024,10,1,0
SEA,2024,10,0,0
TB,2024,10,0,0
CIN,2024,9,0,0
ARI,2024,8,0,0
ATL,2024,8,0,0
IND,2024,8,0,0
MIA,2024,8,0,1
DAL,2024,7,0,1
SF,2024,6,0,1
CAR,2024,5,0,0
CHI,2024,5,0,0
NO,2024,5,0,1
NYJ,2024,5,0,0
JAX,2024,4,0,1
LV,2024,4,0,0
NE,2024,4,0,0
CLE,2024,3,0,1
NYG,2024,3,0,0
TEN,2024,3,0,1
